track_id,cyanite_id,name,artist_name,duration,license_ccurl
161535,libtr_01KVX1J122H6RS7K1F,73rd Moon,Reno Project,222,http://creativecommons.org/licenses/by-nc-nd/3.0/
161536,libtr_01KVX1J1350XG8J4PG,Afterwork,Reno Project,248,http://creativecommons.org/licenses/by-nc-nd/3.0/
161537,libtr_01KVX1J1FT789JCYH6,Atlanta,Reno Project,286,http://creativecommons.org/licenses/by-nc-nd/3.0/
161538,libtr_01KVX1J1PRHGTYKM9H,Constellation,Reno Project,345,http://creativecommons.org/licenses/by-nc-nd/3.0/
161539,libtr_01KVX1J1VJG8E9KJ0Y,Down,Reno Project,304,http://creativecommons.org/licenses/by-nc-nd/3.0/
161540,libtr_01KVX1J1WSKMJZD2F2,Friday,Reno Project,268,http://creativecommons.org/licenses/by-nc-nd/3.0/
161541,libtr_01KVX1J1XTHTSD9BPE,Hot Street,Reno Project,285,http://creativecommons.org/licenses/by-nc-nd/3.0/
161542,libtr_01KVX1J1YYJP83X57K,Loft Side,Reno Project,293,http://creativecommons.org/licenses/by-nc-nd/3.0/
161543,libtr_01KVX1J205BEYKZX98,Night Spot,Reno Project,315,http://creativecommons.org/licenses/by-nc-nd/3.0/
161544,libtr_01KVX1J2129C4PEM73,System,Reno Project,321,http://creativecommons.org/licenses/by-nc-nd/3.0/
161545,libtr_01KVX1J27KPAB5VDXF,The Field,Reno Project,359,http://creativecommons.org/licenses/by-nc-nd/3.0/
263462,libtr_01KVXBHHMDJ63EDRN5,(dry called water),Wasaru,60,http://creativecommons.org/licenses/by-nc-sa/3.0/
263463,libtr_01KVXBHHSK1TY1K5FN, new andromeda theory,Wasaru,192,http://creativecommons.org/licenses/by-nc-sa/3.0/
263464,libtr_01KVXBHHT2B2FF1C5H,can we speak(ambiance edition),Wasaru,121,http://creativecommons.org/licenses/by-nc-sa/3.0/
263465,libtr_01KVXBHHTDMBA18TJP,(experience yourself),Wasaru,66,http://creativecommons.org/licenses/by-nc-sa/3.0/
263466,libtr_01KVXBHHXM6DWJ8S88,police station,Wasaru,182,http://creativecommons.org/licenses/by-nc-sa/3.0/
263467,libtr_01KVXBHJ2F7YPCTNRM,seahorses,Wasaru,202,http://creativecommons.org/licenses/by-nc-sa/3.0/
263468,libtr_01KVXBHJ2F50VG7QJ2,cemetery flowers,Wasaru,340,http://creativecommons.org/licenses/by-nc-sa/3.0/
263469,libtr_01KVXBHJ2VA0BZABDQ,squared by law,Wasaru,190,http://creativecommons.org/licenses/by-nc-sa/3.0/
263470,libtr_01KVXBHJ399JHV7VSQ,temporary broken,Wasaru,328,http://creativecommons.org/licenses/by-nc-sa/3.0/
196219,libtr_01KVX85BD8TZY82HDD,Stories from Emona I,Maya Filipič,210,http://creativecommons.org/licenses/by-nc-nd/3.0/
196221,libtr_01KVX85CBYCA9RGD0N,Stories from Emona II,Maya Filipič,335,http://creativecommons.org/licenses/by-nc-nd/3.0/
196222,libtr_01KVX85CCYEQ6HE5H8,Stories from Emona III,Maya Filipič,202,http://creativecommons.org/licenses/by-nc-nd/3.0/
196223,libtr_01KVX85CS746H68WNW,Stories from Emona IV,Maya Filipič,198,http://creativecommons.org/licenses/by-nc-nd/3.0/
196225,libtr_01KVX85D5N4TN0E1QM,Stories from Emona V,Maya Filipič,303,http://creativecommons.org/licenses/by-nc-nd/3.0/
196250,libtr_01KVX85KNKXHXQZWZH,Stories from Emona VI,Maya Filipič,320,http://creativecommons.org/licenses/by-nc-nd/3.0/
196255,libtr_01KVX85MQHJR37SVHJ,Fantasía,Maya Filipič,199,http://creativecommons.org/licenses/by-nc-nd/3.0/
196256,libtr_01KVX85NAJZCNHQK2T,Prelude in E major,Maya Filipič,92,http://creativecommons.org/licenses/by-nc-nd/3.0/
196257,libtr_01KVX85NJ6CKM1MHXQ,Prelude in C# minor,Maya Filipič,111,http://creativecommons.org/licenses/by-nc-nd/3.0/
196259,libtr_01KVX85PN7A7GNTY8H,Prelude in G major,Maya Filipič,134,http://creativecommons.org/licenses/by-nc-nd/3.0/
196260,libtr_01KVX85Q9X29EA364J,Prelude in Eb major,Maya Filipič,93,http://creativecommons.org/licenses/by-nc-nd/3.0/
242578,libtr_01KVXB8Z88EZ0SJVGQ,Aquascape - Vacuum Fields,Tunguska Electronic Music Society,405,http://creativecommons.org/licenses/by/3.0/
242579,libtr_01KVXB8ZAGSTJBPAKQ,SadFat & DjO - Artificial Сonscience,Tunguska Electronic Music Society,477,http://creativecommons.org/licenses/by/3.0/
242580,libtr_01KVXB8ZCCTF0RNE8S,Bigfoot - Tunguska M,Tunguska Electronic Music Society,483,http://creativecommons.org/licenses/by/3.0/
242581,libtr_01KVXB8ZDTA1WXCRBZ,Vadzim Vouchek - Under Moons of Arrakis,Tunguska Electronic Music Society,176,http://creativecommons.org/licenses/by/3.0/
242583,libtr_01KVXB8ZEG3XMHSZS1,Pavel Fomitchov - Watching the Stars,Tunguska Electronic Music Society,252,http://creativecommons.org/licenses/by/3.0/
242585,libtr_01KVXB8ZH3TE31SRH7,MoVoX - Euphoria,Tunguska Electronic Music Society,330,http://creativecommons.org/licenses/by/3.0/
242586,libtr_01KVXB8ZHCQJRA9QRF,Pavel Fomitchov - Shutting Stars,Tunguska Electronic Music Society,277,http://creativecommons.org/licenses/by/3.0/
242587,libtr_01KVXB8ZRJEQ61JHC6,SadFat - One Helios,Tunguska Electronic Music Society,226,http://creativecommons.org/licenses/by/3.0/
150781,libtr_01KVX02RF4AXVWKSA7,Openings,Torley on Piano,99,http://creativecommons.org/licenses/by-sa/3.0/
150783,libtr_01KVX02RMPMKWZP0NQ,Deep chording,Torley on Piano,142,http://creativecommons.org/licenses/by-sa/3.0/
150786,libtr_01KVX02RQWN2ZK1NS9,Basslot,Torley on Piano,103,http://creativecommons.org/licenses/by-sa/3.0/
150789,libtr_01KVX02SF7MSFDTT37,Stage set,Torley on Piano,101,http://creativecommons.org/licenses/by-sa/3.0/
150790,libtr_01KVX02SG4G9YSX5EF,Just as it is,Torley on Piano,83,http://creativecommons.org/licenses/by-sa/3.0/
150791,libtr_01KVX02SQC5T9FMKED,Magic bonbon,Torley on Piano,141,http://creativecommons.org/licenses/by-sa/3.0/
150792,libtr_01KVX02SZPQ5AC01K9,The garden,Torley on Piano,128,http://creativecommons.org/licenses/by-sa/3.0/
150793,libtr_01KVX02T3V9V3T2Z2D,Turnabout,Torley on Piano,121,http://creativecommons.org/licenses/by-sa/3.0/
150798,libtr_01KVX02V9DSQZZJJ07,Le piano,Torley on Piano,122,http://creativecommons.org/licenses/by-sa/3.0/
150803,libtr_01KVX02VP0M50WCGZQ,Le piano deux,Torley on Piano,98,http://creativecommons.org/licenses/by-sa/3.0/
150810,libtr_01KVX02WM4FC6579QV,Le piano troix,Torley on Piano,129,http://creativecommons.org/licenses/by-sa/3.0/
851428,libtr_01KVXJDQHY8JST1RTY,Fight for your Village,Koke Núñez Gómez,141,http://creativecommons.org/licenses/by-nc-nd/3.0/
1061520,libtr_01KVWTC4BXFNGT2THP,The Strip (jingle),Fresh Body Shop,16,http://creativecommons.org/licenses/by-nc-nd/3.0/
1114149,libtr_01KVWV3P2B18QHAM32,burn in mind,OST,59,http://creativecommons.org/licenses/by-nc-nd/3.0/
1127440,libtr_01KVWVAFGM0BW1HNP7,The Titans,Koke Núñez Gómez,160,http://creativecommons.org/licenses/by-nc-nd/3.0/
1166679,libtr_01KVWVW842H7ATAFG6,ROCK2,OST,98,http://creativecommons.org/licenses/by-nc-nd/3.0/
1169515,libtr_01KVWVXTFKTHJGY2NJ,Down the Grain,rngmnn,251,http://creativecommons.org/licenses/by-nc-sa/3.0/
1169689,libtr_01KVWVXYRES5ZNN4SQ,Ubisound,Nicolas Choukroun,293,http://creativecommons.org/licenses/by-nc-sa/3.0/
1169915,libtr_01KVWVY33DGQFMXCBT,Zone 2 - Nikko - Aliens,Nicolas Choukroun,252,http://creativecommons.org/licenses/by-nc-sa/3.0/
1170968,libtr_01KVWVYNQJJAJ1GMN5,Tradmark - Dr Sonic,Tradmark,131,http://creativecommons.org/licenses/by-sa/3.0/
340086,libtr_01KVXCC3FBATN2R9HY,A DREAM,David Certano,235,http://creativecommons.org/licenses/by-nc-sa/3.0/
358806,libtr_01KVXCK45TEP1ZT3KV,Lake Of Remebrance,Ken Verheecke,235,http://creativecommons.org/licenses/by-nc-sa/3.0/
360243,libtr_01KVXCKV0W9J9M32F2,At The Edge Of Light,Ken Verheecke,233,http://creativecommons.org/licenses/by-nc-sa/3.0/
360251,libtr_01KVXCKV41X5EX9T3C,Visions Of Plenty,Ken Verheecke,147,http://creativecommons.org/licenses/by-nc-sa/3.0/
498436,libtr_01KVXE0307HWSYNFDP,-7_Beautiful~Wishes,JimmyDee,282,http://creativecommons.org/licenses/by-nc-sa/3.0/
799908,libtr_01KVXHSFHD8ENE4W2F,Fly Away,Alexander Klein,186,http://creativecommons.org/licenses/by-nc-sa/3.0/
799915,libtr_01KVXHSFM2ZBVH4N2J,Timewave,Alexander Klein,196,http://creativecommons.org/licenses/by-nc-sa/3.0/
799917,libtr_01KVXHSFQTFRTS5CJG,Gone Stuff,Alexander Klein,175,http://creativecommons.org/licenses/by-nc-sa/3.0/
815323,libtr_01KVXHXFK3AZZZAXEJ,El Desafio de Santa Claus,PSICODREAMICS,309,http://creativecommons.org/licenses/by-nc-sa/3.0/
815425,libtr_01KVXHXK4HYDVP5A4N,Looking for the Spirit of Christmas,PSICODREAMICS,276,http://creativecommons.org/licenses/by-nc-sa/3.0/
881283,libtr_01KVXJXE761RH3762J,Christmas Holidays,Akashic Records,235,http://creativecommons.org/licenses/by-nc-nd/3.0/
977168,libtr_01KVXMCHSMS5FJA5RA,Santa's Gift (Merry Christmas),Akashic Records,140,http://creativecommons.org/licenses/by-nc-nd/3.0/
986891,libtr_01KVXMH36BWWVRPFNT,Christmas Medley Fun (Deck the Halls),Akashic Records,130,http://creativecommons.org/licenses/by-nc-nd/3.0/
986893,libtr_01KVXMH3F2DHCFVKX7,Christmas Bells Loop,Akashic Records,54,http://creativecommons.org/licenses/by-nc-nd/3.0/
1066333,libtr_01KVWTEBSR155JTPK8,Snowflakes Night Waltz,Akashic Records,120,http://creativecommons.org/licenses/by-nc-nd/3.0/
1066334,libtr_01KVWTEBWQZZ3RERMK,"Dancing Snowflakes  (christmas, orchestral)",Akashic Records,130,http://creativecommons.org/licenses/by-nc-nd/3.0/
1164367,libtr_01KVWVTVSGTZ0R0RS5,"Christmas, Xmas, Noel [Stinger]",Akashic Records,18,http://creativecommons.org/licenses/by-nc-nd/3.0/
1164368,libtr_01KVWVTVXY16NY37RX,Christmas,Akashic Records,45,http://creativecommons.org/licenses/by-nc-nd/3.0/
125674,libtr_01KVWWV1J71JCY4ACK,Now,Outsider,231,http://creativecommons.org/licenses/by-sa/3.0/
269584,libtr_01KVXBKCVYCZPRV80A,_54x,Timur Izhbulatov,242,http://creativecommons.org/licenses/by-sa/3.0/
407064,libtr_01KVXD1BSK8NZ6509V,White Caffein,Mister M,256,http://creativecommons.org/licenses/by-sa/3.0/
710704,libtr_01KVXGJKM5E7ZBSC7X,My Freedom,Keffy Kay,330,http://creativecommons.org/licenses/by/3.0/
710712,libtr_01KVXGJMHA4EEA5AZ9,To The Light,Keffy Kay,209,http://creativecommons.org/licenses/by/3.0/
761498,libtr_01KVXH83HZKJEGGBBK,Cascade,DUDELDRUM,236,http://creativecommons.org/licenses/by-nc-sa/3.0/
894466,libtr_01KVXK2WKZJ90H92SX,Jigger (Traditional Irish goes Rock),vvsmusic,129,http://creativecommons.org/licenses/by-nc-sa/2.0/de/
985809,libtr_01KVXMG55E9VKN988C,Martin Oakson- Summer Soon (Original Mix),Martin Oakson,225,http://creativecommons.org/licenses/by/3.0/
1111826,libtr_01KVWV30V9Q4BPZKQB,Set You Free,StrangeZero,379,http://creativecommons.org/licenses/by-nc-sa/3.0/
1111827,libtr_01KVWV31172RB7ZHEQ,Agony Experience (Path II),StrangeZero,430,http://creativecommons.org/licenses/by-nc-sa/3.0/
1111828,libtr_01KVWV31ACNKM8KKBM,People Going Round,StrangeZero,383,http://creativecommons.org/licenses/by-nc-sa/3.0/
1111829,libtr_01KVWV31ABR3YBVPYM,Ospheron,StrangeZero,307,http://creativecommons.org/licenses/by-nc-sa/3.0/
1111830,libtr_01KVWV31FMPC73EBSM,Endlessly,StrangeZero,269,http://creativecommons.org/licenses/by-nc-sa/3.0/
1111831,libtr_01KVWV31FZATADG89X,Sleepwalking,StrangeZero,350,http://creativecommons.org/licenses/by-nc-sa/3.0/
1111833,libtr_01KVWV31KGC8N404M5,She Never Met The Universe,StrangeZero,357,http://creativecommons.org/licenses/by-nc-sa/3.0/
1111834,libtr_01KVWV31MAANAEK97T,Pluto,StrangeZero,358,http://creativecommons.org/licenses/by-nc-sa/3.0/
1111835,libtr_01KVWV31MMD4BM5XBC,Heart O2,StrangeZero,308,http://creativecommons.org/licenses/by-nc-sa/3.0/
1111836,libtr_01KVWV31NK4C4DKDGH,Nanofly,StrangeZero,312,http://creativecommons.org/licenses/by-nc-sa/3.0/
1118117,libtr_01KVWV5JJ1HEATPZFN,Eugeny Karpenko - Tixaya,Tunguska Electronic Music Society,349,http://creativecommons.org/licenses/by-nd/3.0/
1118118,libtr_01KVWV5JJ63D4AAKGH,Aleksey Chistilin - Legend,Tunguska Electronic Music Society,265,http://creativecommons.org/licenses/by-nd/3.0/
1118119,libtr_01KVWV5JQP1AG6Y8JQ,Jane Ray - Lullaby of Rain,Tunguska Electronic Music Society,319,http://creativecommons.org/licenses/by-nd/3.0/
1118120,libtr_01KVWV5JR76051F57E,Empiric - I'm Waiting,Tunguska Electronic Music Society,390,http://creativecommons.org/licenses/by-nd/3.0/
